,age,education,hours-per-week,workclass_Private,workclass_Public,workclass_Self-emp,marital-status_Married,marital-status_Single,race_Amer-Indian,race_Asian,race_Black,race_Hispanic,race_White,sex_Female,sex_Male,income_<=50K,income_>50K
45,53,9,38,1,0,0,1,0,0,0,0,0,1,0,1,1,0
46,44,14,40,1,0,0,0,1,0,0,0,0,1,1,0,1,0
47,41,11,40,0,1,0,1,0,0,0,0,0,1,0,1,1,0
48,29,11,43,1,0,0,0,1,0,0,0,0,1,0,1,1,0
49,25,10,40,1,0,0,1,0,0,0,0,1,0,1,0,1,0
50,18,9,30,1,0,0,0,1,0,0,0,0,1,1,0,1,0
51,47,15,60,1,0,0,1,0,0,0,0,0,1,1,0,0,1
52,50,13,55,0,1,0,0,1,0,0,0,0,1,0,1,0,1
53,47,9,60,0,0,1,0,1,0,0,0,0,1,0,1,1,0
54,43,10,40,1,0,0,1,0,0,0,0,0,1,0,1,0,1
55,46,3,40,1,0,0,1,0,0,0,0,0,1,0,1,1,0
56,35,11,40,1,0,0,1,0,0,0,0,0,1,0,1,1,0
57,41,9,48,1,0,0,1,0,0,0,0,0,1,0,1,1,0
58,30,9,40,1,0,0,1,0,0,0,0,0,1,0,1,1,0
59,30,13,40,1,0,0,1,0,0,0,0,0,1,0,1,1,0
60,48,9,40,1,0,0,1,0,0,0,0,0,1,0,1,1,0
61,42,16,45,1,0,0,1,0,0,0,0,0,1,0,1,0,1
62,29,10,58,1,0,0,0,1,0,0,0,0,1,0,1,1,0
63,38,9,40,1,0,0,1,0,0,0,0,0,1,0,1,1,0
64,28,10,40,1,0,0,0,1,0,0,0,0,1,1,0,1,0
65,53,9,40,1,0,0,1,0,0,0,0,0,1,1,0,0,1
66,49,10,50,0,0,1,1,0,0,0,0,0,1,0,1,0,1
67,19,10,32,1,0,0,0,1,0,0,0,0,1,0,1,1,0
68,31,13,40,1,0,0,0,1,0,0,1,0,0,1,0,1,0
69,29,13,70,0,0,1,1,0,0,0,0,0,1,0,1,0,1
70,23,10,40,1,0,0,0,1,0,0,0,0,1,0,1,1,0
71,79,10,20,1,0,0,1,0,0,0,0,0,1,0,1,1,0
72,27,9,40,1,0,0,0,1,0,0,0,0,1,0,1,1,0
73,40,12,40,1,0,0,1,0,0,0,0,0,1,0,1,1,0
74,18,7,22,1,0,0,0,1,0,0,0,0,1,1,0,1,0
75,31,4,40,0,1,0,1,0,0,0,0,0,1,0,1,1,0
76,38,9,30,1,0,0,0,1,0,0,0,0,1,0,1,1,0
77,52,13,40,1,0,0,1,0,0,0,0,0,1,0,1,1,0
78,46,9,40,1,0,0,1,0,0,0,0,0,1,1,0,1,0
79,59,9,48,1,0,0,1,0,0,0,0,0,1,0,1,1,0
80,44,9,40,1,0,0,0,1,0,0,0,0,1,1,0,0,1
81,53,9,35,1,0,0,0,1,0,0,0,0,1,1,0,1,0
82,49,9,40,0,1,0,1,0,0,0,0,0,1,0,1,0,1
83,33,14,50,1,0,0,1,0,0,0,0,0,1,0,1,1,0
84,30,5,40,1,0,0,0,1,0,0,0,0,1,0,1,1,0
85,38,16,50,0,1,0,0,1,0,0,0,0,1,1,0,0,1
86,57,11,40,1,0,0,1,0,0,0,0,0,1,0,1,1,0
87,37,10,40,1,0,0,0,1,0,0,0,0,1,1,0,1,0
88,28,10,25,1,0,0,0,1,0,0,1,0,0,1,0,1,0
89,30,9,35,1,0,0,1,0,0,1,0,0,0,1,0,1,0
90,34,13,40,0,1,0,1,0,0,0,0,0,1,0,1,0,1
91,38,10,50,0,1,0,0,1,0,0,0,0,1,0,1,1,0
92,48,16,60,0,0,1,1,0,0,0,0,0,1,0,1,0,1
93,37,10,48,1,0,0,1,0,0,0,0,0,1,0,1,0,1
94,48,12,40,1,0,0,0,1,0,0,0,0,1,1,0,1,0
95,32,9,40,0,1,0,0,1,0,0,1,0,0,0,1,1,0
96,76,14,40,1,0,0,1,0,0,0,0,0,1,0,1,0,1
97,44,13,60,1,0,0,1,0,0,0,0,0,1,0,1,0,1
98,47,14,50,0,0,1,0,1,0,0,0,0,1,1,0,1,0
99,20,10,40,1,0,0,0,1,0,0,0,0,1,1,0,1,0
100,29,9,40,1,0,0,0,1,0,0,0,0,1,0,1,1,0
101,32,9,40,0,0,1,1,0,0,0,0,0,1,0,1,0,1
102,30,7,40,1,0,0,0,1,0,0,0,0,1,0,1,1,0
103,31,9,40,0,1,0,0,1,0,0,0,0,1,1,0,1,0
104,42,9,40,1,0,0,1,0,0,0,0,0,1,0,1,1,0
105,24,13,40,1,0,0,0,1,0,0,0,0,1,0,1,1,0
106,38,15,40,1,0,0,1,0,0,0,0,0,1,0,1,0,1
107,56,9,50,0,0,1,1,0,0,0,0,0,1,0,1,0,1
108,38,10,25,1,0,0,1,0,0,0,0,0,1,1,0,1,0
109,36,9,40,1,0,0,0,1,0,0,0,0,1,1,0,1,0
110,53,5,50,1,0,0,1,0,0,0,0,0,1,0,1,1,0
111,56,10,50,0,0,1,1,0,0,0,0,0,1,0,1,1,0
112,49,11,40,0,1,0,1,0,0,0,1,0,0,0,1,0,1
113,55,10,56,1,0,0,1,0,0,0,0,0,1,0,1,1,0
114,22,9,41,1,0,0,0,1,0,0,0,0,1,0,1,1,0
115,21,10,40,1,0,0,0,1,0,0,0,0,1,1,0,1,0
116,40,13,60,1,0,0,1,0,0,0,0,0,1,0,1,1,0
117,30,13,40,1,0,0,0,1,0,0,1,0,0,0,1,1,0
118,29,13,50,0,1,0,1,0,0,0,0,0,1,0,1,0,1
119,19,10,35,1,0,0,0,1,0,0,1,0,0,0,1,1,0
120,47,13,40,1,0,0,1,0,0,0,0,0,1,1,0,0,1
121,20,10,28,1,0,0,0,1,0,0,0,0,1,1,0,1,0
122,31,12,40,1,0,0,1,0,0,0,0,0,1,0,1,0,1
123,39,10,40,1,0,0,0,1,0,0,0,0,1,0,1,1,0
124,28,12,60,1,0,0,0,1,0,0,0,0,1,1,0,1,0
125,24,9,40,1,0,0,0,1,0,0,0,0,1,1,0,1,0
126,38,9,35,0,0,1,1,0,0,0,0,0,1,0,1,1,0
127,37,13,50,1,0,0,1,0,0,0,0,0,1,0,1,1,0
128,46,12,36,1,0,0,0,1,0,0,1,0,0,1,0,1,0
129,38,14,40,0,1,0,1,0,0,0,0,0,1,0,1,0,1
130,43,9,60,0,0,1,1,0,0,0,0,0,1,0,1,1,0
131,27,11,35,1,0,0,1,0,0,0,0,0,1,1,0,1,0
132,20,10,20,1,0,0,0,1,0,0,0,0,1,0,1,1,0
133,49,10,40,1,0,0,1,0,0,1,0,0,0,0,1,0,1
134,61,9,40,0,0,1,1,0,0,0,0,0,1,0,1,1,0
135,27,10,40,1,0,0,0,1,0,0,0,0,1,1,0,1,0
136,19,10,30,1,0,0,0,1,0,0,0,0,1,0,1,1,0
137,45,11,40,1,0,0,0,1,0,0,0,0,1,1,0,0,1
138,70,10,40,1,0,0,0,1,0,0,0,0,1,0,1,1,0
139,31,9,30,1,0,0,0,1,0,0,1,0,0,1,0,1,0
140,22,10,24,1,0,0,1,0,0,0,0,0,1,0,1,1,0
141,38,9,24,1,0,0,1,0,0,0,0,0,1,1,0,1,0
142,64,7,40,1,0,0,1,0,0,0,0,0,1,0,1,1,0
143,47,10,38,0,1,0,0,1,0,0,0,0,1,1,0,1,0
144,34,9,40,1,0,0,0,1,0,0,0,0,1,1,0,1,0
145,33,13,40,1,0,0,0,1,0,1,0,0,0,1,0,1,0
146,21,9,35,1,0,0,0,1,0,0,0,0,1,0,1,1,0
147,48,9,46,1,0,0,1,0,0,0,0,0,1,0,1,1,0
148,23,13,40,1,0,0,0,1,0,0,0,0,1,0,1,1,0
149,71,10,2,0,0,1,0,1,0,0,1,0,0,0,1,1,0
150,29,9,60,1,0,0,0,1,0,0,0,0,1,0,1,1,0
151,38,13,50,1,0,0,0,1,0,0,1,0,0,0,1,1,0
152,25,9,40,1,0,0,0,1,0,0,0,0,1,1,0,1,0
153,44,14,40,0,0,1,0,1,0,1,0,0,0,1,0,1,0
154,28,9,40,1,0,0,0,1,0,1,0,0,0,1,0,1,0
155,45,14,40,0,0,1,1,0,0,0,0,0,1,0,1,0,1
156,36,10,40,1,0,0,0,1,0,0,0,0,1,1,0,1,0
157,39,12,42,0,1,0,0,1,0,0,0,0,1,0,1,1,0
158,46,14,40,0,1,0,1,0,0,0,0,0,1,0,1,1,0
159,18,7,16,1,0,0,0,1,0,0,0,0,1,0,1,1,0
160,66,11,20,0,1,0,1,0,0,0,0,0,1,1,0,1,0
161,27,9,40,1,0,0,0,1,0,0,0,0,1,0,1,1,0
162,28,9,40,0,1,0,1,0,0,0,0,0,1,0,1,1,0
163,51,10,40,1,0,0,1,0,0,0,0,0,1,0,1,0,1
164,27,13,50,1,0,0,0,1,0,0,0,0,1,0,1,1,0
165,28,13,40,0,1,0,1,0,0,0,0,0,1,0,1,0,1
166,27,9,25,1,0,0,1,0,0,0,0,0,1,1,0,1,0
167,21,9,40,1,0,0,0,1,0,0,1,0,0,0,1,1,0
168,34,9,40,1,0,0,0,1,0,0,1,0,0,0,1,1,0
169,18,9,12,1,0,0,0,1,0,0,0,0,1,0,1,1,0
170,33,13,65,1,0,0,1,0,0,0,0,0,1,0,1,1,0
171,38,10,38,0,1,0,1,0,0,0,1,0,0,0,1,0,1
172,43,10,40,1,0,0,0,1,0,0,0,0,1,1,0,1,0
173,30,10,45,1,0,0,0,1,0,0,1,0,0,0,1,1,0
174,40,4,40,1,0,0,1,0,0,0,0,0,1,0,1,0,1
175,37,10,42,0,1,0,1,0,0,0,0,0,1,0,1,0,1
176,34,9,40,1,0,0,1,0,0,0,1,0,0,0,1,1,0
177,41,13,40,0,0,1,0,1,0,0,0,0,1,1,0,1,0
178,31,14,50,1,0,0,1,0,0,0,0,0,1,1,0,1,0
179,58,16,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1
180,38,10,28,1,0,0,0,1,0,0,1,0,0,1,0,1,0
181,24,10,40,1,0,0,1,0,0,0,0,0,1,0,1,1,0
182,38,13,40,0,1,0,1,0,0,0,1,0,0,0,1,1,0
183,47,10,45,1,0,0,1,0,0,0,0,0,1,0,1,1,0
184,41,13,24,0,1,0,1,0,0,0,0,0,1,0,1,1,0
185,23,3,40,1,0,0,1,0,0,0,0,0,1,0,1,1,0
186,36,10,40,1,0,0,0,1,0,0,0,0,1,0,1,1,0
187,40,14,55,0,1,0,0,1,0,0,0,0,1,1,0,0,1
188,35,14,40,1,0,0,1,0,0,0,0,0,1,0,1,0,1
189,24,9,40,0,0,1,0,1,0,0,0,0,1,0,1,1,0
190,26,14,40,1,0,0,0,1,0,0,0,0,1,1,0,1,0
191,51,13,50,1,0,0,1,0,0,0,0,0,1,0,1,0,1
192,42,10,40,0,1,0,0,1,0,0,0,0,1,1,0,1,0
193,37,9,35,0,1,0,0,1,0,0,0,0,1,1,0,1,0
194,18,7,40,1,0,0,0,1,0,0,0,0,1,1,0,1,0
195,36,13,36,1,0,0,1,0,0,0,1,0,0,0,1,0,1
196,35,9,60,1,0,0,0,1,0,0,0,0,1,0,1,1,0
197,58,9,35,0,0,1,1,0,0,0,0,0,1,1,0,0,1
198,17,7,12,1,0,0,0,1,0,0,0,0,1,1,0,1,0
199,38,9,40,0,1,0,1,0,0,0,1,0,0,0,1,1,0
200,37,9,40,1,0,0,1,0,0,0,0,0,1,0,1,0,1
201,35,10,40,1,0,0,0,1,1,0,0,0,0,1,0,1,0
202,60,9,40,1,0,0,1,0,0,1,0,0,0,0,1,1,0
203,54,4,40,0,0,1,1,0,0,0,0,0,1,0,1,0,1
204,37,13,60,1,0,0,0,1,0,0,1,0,0,0,1,0,1
205,50,12,40,1,0,0,0,1,0,0,0,0,1,1,0,1,0
206,38,13,50,1,0,0,1,0,0,0,0,0,1,0,1,1,0
207,45,13,55,1,0,0,1,0,0,0,0,0,1,0,1,1,0
208,25,6,40,1,0,0,0,1,0,0,0,0,1,0,1,1,0
209,31,10,40,1,0,0,1,0,0,0,0,0,1,0,1,1,0
210,90,9,40,1,0,0,0,1,0,0,1,0,0,0,1,1,0
211,54,9,20,1,0,0,1,0,0,0,1,0,0,0,1,1,0
212,53,1,35,0,1,0,0,1,0,0,0,0,1,1,0,1,0
213,18,9,40,1,0,0,0,1,0,0,0,0,1,1,0,1,0
214,66,9,50,0,0,1,1,0,0,0,0,0,1,0,1,1,0
215,75,11,20,1,0,0,1,0,0,0,0,0,1,1,0,1,0
216,65,9,40,1,0,0,0,1,0,0,0,0,1,1,0,1,0
217,35,7,40,1,0,0,0,1,0,0,1,0,0,0,1,1,0
218,41,9,38,1,0,0,0,1,0,0,1,0,0,1,0,1,0
219,25,10,42,1,0,0,0,1,0,0,0,0,1,0,1,1,0
220,33,10,40,1,0,0,0,1,0,0,0,1,0,1,0,1,0
221,38,15,55,1,0,0,0,1,0,0,0,0,1,0,1,0,1
222,59,9,40,0,1,0,1,0,0,0,0,0,1,0,1,1,0
223,40,10,38,0,1,0,0,1,0,0,0,0,1,1,0,1,0
224,41,13,50,1,0,0,1,0,0,0,0,0,1,0,1,0,1
225,38,14,70,0,1,0,1,0,0,0,0,0,1,0,1,0,1
226,23,9,40,1,0,0,0,1,0,0,0,0,1,0,1,1,0
227,40,13,40,1,0,0,1,0,0,0,0,0,1,0,1,0,1
228,41,9,20,0,0,1,1,0,0,0,0,0,1,1,0,1,0
229,24,12,50,0,1,0,1,0,0,0,0,0,1,0,1,1,0
230,38,10,40,1,0,0,0,1,0,0,0,0,1,0,1,1,0
231,56,9,35,1,0,0,1,0,0,0,0,0,1,0,1,1,0
232,58,9,45,1,0,0,1,0,0,0,0,0,1,0,1,0,1
233,32,9,34,1,0,0,0,1,0,0,0,0,1,1,0,1,0
234,40,12,60,1,0,0,1,0,0,0,0,0,1,0,1,0,1
235,45,9,40,1,0,0,1,0,0,0,0,0,1,0,1,1,0
236,41,15,40,1,0,0,1,0,0,0,0,0,1,1,0,0,1
237,42,13,40,1,0,0,1,0,0,0,1,0,0,1,0,1,0
238,59,6,30,0,1,0,1,0,0,0,1,0,0,1,0,1,0
239,19,10,40,0,1,0,0,1,0,0,0,0,1,0,1,1,0
240,58,10,20,1,0,0,0,1,0,0,0,0,1,0,1,1,0
241,38,9,40,0,0,1,1,0,0,1,0,0,0,0,1,0,1
242,20,9,40,1,0,0,0,1,0,0,0,0,1,1,0,1,0
243,32,9,30,1,0,0,0,1,0,0,0,0,1,1,0,1,0
244,45,11,45,1,0,0,1,0,0,0,0,0,1,1,0,1,0
245,50,4,40,1,0,0,0,1,0,0,0,0,1,0,1,1,0
246,36,13,40,1,0,0,0,1,0,0,0,0,1,1,0,1,0
247,45,9,60,1,0,0,1,0,0,0,0,0,1,0,1,1,0
248,17,7,12,1,0,0,0,1,0,0,0,0,1,0,1,1,0
249,59,10,40,1,0,0,1,0,0,0,0,0,1,0,1,1,0
250,26,7,40,1,0,0,1,0,0,0,0,0,1,0,1,1,0
251,37,10,75,0,0,1,1,0,0,1,0,0,0,0,1,0,1
252,64,9,40,1,0,0,1,0,0,0,0,0,1,0,1,0,1
253,33,13,45,1,0,0,0,1,0,0,0,0,1,1,0,1,0
254,33,9,40,1,0,0,1,0,0,0,0,0,1,1,0,0,1
255,61,9,40,1,0,0,1,0,0,0,0,0,1,0,1,0,1
256,17,5,24,1,0,0,0,1,0,0,0,0,1,0,1,1,0
257,50,14,98,0,0,1,1,0,0,0,0,0,1,0,1,1,0
258,38,14,35,0,1,0,0,1,0,0,0,0,1,0,1,1,0
259,30,9,40,1,0,0,0,1,0,0,0,0,1,1,0,1,0
260,43,9,40,1,0,0,1,0,0,0,1,0,0,0,1,1,0
261,44,10,40,1,0,0,1,0,0,0,0,0,1,0,1,0,1
262,35,10,40,1,0,0,0,1,0,0,0,0,1,1,0,1,0
263,25,10,40,1,0,0,0,1,0,0,0,0,1,1,0,1,0
264,24,10,48,1,0,0,1,0,0,0,0,0,1,1,0,0,1
265,22,13,15,1,0,0,0,1,0,0,0,0,1,1,0,1,0
266,42,10,40,0,1,0,1,0,0,0,0,0,1,0,1,0,1
267,34,12,45,1,0,0,0,1,0,0,1,0,0,1,0,1,0
268,60,13,42,1,0,0,0,1,0,0,0,0,1,1,0,1,0
269,21,9,40,1,0,0,0,1,0,0,0,0,1,0,1,1,0
270,57,14,40,0,1,0,1,0,0,0,0,0,1,0,1,0,1
271,41,15,60,1,0,0,1,0,0,0,0,0,1,0,1,0,1
272,50,10,45,1,0,0,0,1,0,0,0,0,1,0,1,1,0
273,25,13,40,1,0,0,0,1,0,0,0,0,1,1,0,1,0
274,50,4,40,1,0,0,1,0,0,0,0,0,1,0,1,1,0
275,36,13,45,1,0,0,1,0,0,0,0,0,1,0,1,1,0
276,31,9,40,1,0,0,0,1,0,0,0,0,1,1,0,1,0
277,29,13,56,0,1,0,0,1,0,0,0,0,1,0,1,1,0
278,21,10,45,1,0,0,0,1,0,0,0,0,1,0,1,1,0
279,38,13,40,1,0,0,0,1,0,0,1,0,0,1,0,1,0
280,65,9,16,1,0,0,1,0,0,0,0,0,1,0,1,1,0
281,37,13,60,0,0,1,0,1,0,0,0,0,1,1,0,1,0
282,24,9,40,1,0,0,0,1,0,0,0,0,1,0,1,1,0
283,38,9,80,1,0,0,0,1,0,0,0,0,1,0,1,1,0
284,38,13,40,1,0,0,1,0,0,0,0,0,1,0,1,0,1
285,38,10,25,1,0,0,0,1,0,1,0,0,0,1,0,1,0
286,31,9,45,1,0,0,1,0,0,0,0,0,1,0,1,0,1
287,55,9,40,1,0,0,1,0,0,0,0,0,1,0,1,0,1
288,24,10,40,1,0,0,1,0,0,1,0,0,0,1,0,1,0
289,43,9,40,1,0,0,0,1,0,0,0,0,1,1,0,1,0
290,26,12,45,1,0,0,0,1,0,0,0,0,1,0,1,1,0
291,46,12,33,1,0,0,0,1,0,0,0,0,1,1,0,1,0
292,35,12,40,1,0,0,1,0,0,0,0,0,1,0,1,0,1
293,41,10,54,0,0,1,1,0,0,0,0,0,1,0,1,0,1
294,26,13,40,1,0,0,0,1,0,0,0,0,1,0,1,1,0
295,34,14,35,1,0,0,1,0,0,1,0,0,0,0,1,0,1
296,36,13,40,0,0,1,0,1,0,0,1,0,0,1,0,0,1
297,22,10,15,1,0,0,0,1,0,0,0,0,1,0,1,1,0
298,24,10,40,1,0,0,0,1,0,0,0,0,1,0,1,1,0
299,77,10,40,0,0,1,1,0,0,0,0,0,1,0,1,1,0
300,22,3,40,1,0,0,1,0,0,0,0,0,1,1,0,1,0
301,29,10,40,1,0,0,0,1,0,0,0,0,1,1,0,1,0
302,38,9,24,1,0,0,1,0,0,0,0,0,1,1,0,1,0
303,39,9,40,0,0,1,1,0,0,0,0,0,1,0,1,1,0
304,43,10,50,1,0,0,1,0,0,0,0,0,1,0,1,1,0
305,35,9,45,1,0,0,0,1,0,0,0,0,1,0,1,1,0
306,29,7,40,1,0,0,0,1,0,0,0,0,1,1,0,1,0
307,76,14,10,0,0,1,1,0,0,0,0,0,1,0,1,1,0
308,63,9,45,0,0,1,1,0,0,0,0,0,1,0,1,1,0
309,43,10,50,1,0,0,1,0,0,0,0,0,1,1,0,0,1
310,58,9,40,0,0,1,1,0,0,0,0,0,1,0,1,1,0
311,66,9,55,1,0,0,0,1,0,0,0,0,1,0,1,1,0
312,41,10,45,1,0,0,0,1,0,0,1,0,0,0,1,1,0
313,26,13,40,1,0,0,0,1,0,0,0,0,1,0,1,1,0
314,47,11,40,1,0,0,0,1,0,0,0,0,1,0,1,1,0
315,55,6,40,0,1,0,1,0,0,0,0,0,1,0,1,1,0
316,53,9,40,1,0,0,1,0,0,0,0,0,1,0,1,1,0
317,17,3,48,1,0,0,0,1,0,0,0,0,1,0,1,1,0
318,30,9,40,1,0,0,0,1,0,0,0,0,1,0,1,1,0
319,49,14,60,1,0,0,0,1,0,0,0,0,1,0,1,1,0
320,19,9,30,1,0,0,0,1,0,0,1,0,0,0,1,1,0
321,45,9,40,1,0,0,1,0,0,0,1,0,0,0,1,1,0
322,26,12,40,1,0,0,0,1,0,0,0,0,1,0,1,1,0
323,38,11,40,1,0,0,1,0,0,0,0,0,1,0,1,0,1
324,36,9,40,0,1,0,1,0,0,0,0,0,1,0,1,0,1
325,33,9,20,1,0,0,0,1,0,0,0,0,1,0,1,1,0
326,22,10,40,0,1,0,0,1,0,0,1,0,0,1,0,1,0
327,43,13,42,0,0,1,0,1,0,0,0,0,1,0,1,1,0
328,56,12,25,1,0,0,1,0,0,0,0,0,1,0,1,1,0
329,31,13,25,1,0,0,0,1,0,0,0,0,1,0,1,1,0
330,33,13,40,1,0,0,1,0,0,0,0,0,1,0,1,0,1
331,26,9,40,1,0,0,1,0,0,0,0,0,1,0,1,1,0
332,33,13,40,1,0,0,1,0,0,0,0,0,1,0,1,0,1
333,46,7,30,0,1,0,1,0,0,0,0,0,1,0,1,1,0
334,38,9,40,0,1,0,1,0,0,0,0,0,1,0,1,0,1
335,65,7,40,1,0,0,1,0,0,0,0,1,0,0,1,1,0
336,40,11,40,1,0,0,1,0,0,0,0,0,1,0,1,0,1
337,42,9,35,1,0,0,1,0,0,0,0,0,1,1,0,1,0
338,26,5,40,0,0,1,1,0,0,0,0,0,1,0,1,1,0
339,36,6,24,1,0,0,1,0,0,0,0,0,1,1,0,1,0
340,62,14,40,1,0,0,1,0,0,0,0,0,1,0,1,0,1
341,43,13,45,1,0,0,1,0,0,0,0,0,1,0,1,1,0
342,43,13,45,1,0,0,0,1,0,0,0,0,1,0,1,0,1
343,22,9,55,1,0,0,1,0,0,0,0,0,1,0,1,1,0
344,28,9,40,1,0,0,1,0,0,0,0,0,1,0,1,1,0
345,56,10,45,0,0,1,1,0,0,0,0,0,1,0,1,1,0
346,22,12,15,1,0,0,0,1,0,0,0,0,1,1,0,1,0
347,57,13,45,1,0,0,0,1,0,0,0,0,1,1,0,0,1
348,39,9,40,1,0,0,0,1,0,0,0,0,1,1,0,1,0
349,26,10,15,0,1,0,0,1,0,0,0,0,1,1,0,1,0
350,17,7,10,1,0,0,0,1,0,0,0,0,1,0,1,1,0
351,40,11,38,0,1,0,1,0,0,0,0,0,1,0,1,0,1
352,45,9,40,1,0,0,1,0,0,0,1,0,0,0,1,1,0
353,44,9,40,1,0,0,0,1,0,0,1,0,0,0,1,1,0
354,20,10,10,0,1,0,0,1,0,0,0,0,1,1,0,1,0
355,33,9,40,1,0,0,1,0,0,0,0,0,1,1,0,1,0
356,23,10,40,1,0,0,0,1,0,0,0,0,1,0,1,1,0
357,46,14,30,0,0,1,0,1,0,0,0,0,1,0,1,1,0
358,38,9,50,1,0,0,1,0,0,0,0,0,1,0,1,1,0
359,54,9,40,1,0,0,0,1,0,0,0,0,1,0,1,1,0
360,46,3,45,1,0,0,0,1,0,0,0,0,1,1,0,1,0
361,25,10,40,1,0,0,1,0,0,0,0,0,1,0,1,1,0
362,46,10,40,1,0,0,0,1,0,0,0,0,1,1,0,1,0
363,36,10,40,0,1,0,1,0,0,0,0,0,1,1,0,1,0
364,23,9,25,1,0,0,0,1,0,0,0,0,1,1,0,1,0
365,29,9,40,1,0,0,0,1,0,0,0,0,1,0,1,1,0
366,44,10,6,1,0,0,1,0,0,0,0,0,1,1,0,0,1
367,19,10,16,1,0,0,0,1,0,0,0,0,1,1,0,1,0
368,19,9,40,1,0,0,0,1,0,0,0,0,1,1,0,1,0
369,35,9,40,1,0,0,1,0,0,0,0,0,1,1,0,0,1
370,27,13,50,1,0,0,0,1,0,0,0,0,1,0,1,1,0
371,46,12,40,0,0,1,0,1,0,0,0,0,1,0,1,1,0
372,34,13,45,0,1,0,1,0,0,0,0,0,1,0,1,0,1
373,34,9,35,1,0,0,0,1,0,0,0,0,1,1,0,1,0
374,44,10,40,1,0,0,1,0,0,0,0,0,1,0,1,1,0
375,45,10,40,1,0,0,0,1,0,0,0,0,1,1,0,1,0
376,25,13,55,1,0,0,1,0,0,0,0,0,1,0,1,0,1
377,52,13,50,0,0,1,1,0,0,0,0,0,1,0,1,0,1
378,20,10,40,1,0,0,0,1,0,0,0,0,1,0,1,1,0
379,28,10,40,1,0,0,0,1,0,0,0,0,1,1,0,1,0
380,50,13,40,0,1,0,1,0,0,0,0,0,1,0,1,0,1
381,34,11,64,1,0,0,0,1,0,0,0,0,1,1,0,1,0
